len,domainLen,underscore,at,dash,dot,slash,ampersand,question,equal,PhishingResult
6,14,0,0,0,0,2,0,0,0,0
7,15,0,0,0,1,2,0,0,0,0
11,12,0,0,0,0,2,0,0,0,0
5,15,0,0,0,0,2,0,0,0,0
5,11,0,1,0,2,5,0,1,1,0
8,5,0,1,0,2,5,0,1,1,0
7,12,0,0,0,1,4,0,0,0,0
6,12,0,0,0,1,3,0,0,0,0
10,10,1,0,2,1,6,4,2,6,0
6,15,1,0,2,1,6,4,2,6,0
11,10,0,1,0,4,3,0,1,1,0
8,22,0,1,2,5,4,0,1,1,0
9,19,0,0,1,2,3,0,0,0,0
8,16,0,0,0,0,1,0,0,0,0
7,10,0,0,0,1,4,0,1,1,0
9,12,1,0,0,1,1,2,1,3,0
8,12,0,0,0,5,7,0,0,0,0
7,13,0,0,0,2,3,0,0,0,0
9,11,0,0,1,0,3,0,0,0,0
4,10,0,0,0,0,3,0,0,0,0
8,14,0,0,0,1,1,0,0,0,0
10,10,0,0,0,2,4,0,0,0,0
7,9,0,0,0,1,3,0,0,0,0
11,21,1,0,2,0,3,0,0,0,0
5,8,0,0,0,0,4,0,0,0,0
6,17,0,0,2,1,3,0,0,0,0
8,15,0,0,1,1,5,0,0,0,0
10,6,0,0,1,0,3,0,0,0,0
10,6,0,0,0,0,1,0,0,0,0
6,8,0,0,0,1,1,1,1,2,0
6,8,0,0,0,1,1,1,1,2,0
7,8,0,0,0,1,1,2,1,3,0
9,20,0,0,0,1,1,2,1,3,0
6,10,0,0,0,1,1,1,1,2,0
5,7,0,0,0,1,1,1,1,2,0
14,8,0,0,0,1,3,0,0,0,0
9,11,0,0,0,1,1,0,0,0,0
9,11,0,0,1,0,2,0,0,0,0
12,14,0,0,0,1,1,1,1,2,0
15,14,0,0,0,1,1,1,1,2,0
10,9,0,0,0,1,1,1,1,2,0
9,9,0,0,0,1,1,1,1,2,0
6,22,0,0,0,1,1,1,1,2,0
9,18,0,0,0,1,1,1,1,2,0
7,6,0,0,0,1,1,1,1,2,0
14,19,0,0,0,1,1,1,1,2,0
11,12,0,0,0,1,2,0,0,0,0
13,9,0,0,0,0,1,0,0,0,0
16,20,0,0,0,1,3,0,0,0,0
10,16,0,0,0,1,2,0,0,0,0
8,20,0,0,0,0,1,0,0,0,0
16,13,0,0,0,0,3,0,0,0,0
15,12,0,0,0,1,1,0,0,0,0
7,10,0,0,0,1,0,0,0,0,0
8,11,0,0,1,1,2,0,0,0,0
7,12,0,0,2,0,4,0,0,0,0
7,18,1,0,0,1,2,0,0,0,0
9,11,0,0,0,1,3,0,0,0,0
6,17,0,0,0,0,3,0,0,0,0
7,11,0,0,0,0,7,0,0,0,0
7,9,0,0,0,2,1,0,1,1,0
8,11,0,0,0,1,2,0,0,0,0
5,9,0,0,1,0,4,0,0,0,0
8,21,0,0,1,0,3,0,0,0,0
7,12,0,0,0,1,5,0,0,0,0
9,13,0,0,2,1,6,0,0,0,0
9,16,0,0,0,1,5,0,0,0,0
11,12,0,1,1,2,4,0,1,1,0
9,10,0,0,1,0,2,0,0,0,0
9,5,0,0,0,0,6,0,0,0,0
8,23,0,0,0,0,6,0,0,0,0
16,6,0,0,2,0,2,0,0,0,0
11,13,0,0,1,1,2,0,0,0,0
15,7,0,0,0,1,2,1,1,2,0
14,14,0,0,0,1,2,1,1,2,0
11,12,0,0,1,0,6,0,0,0,0
9,13,0,0,0,0,2,0,0,0,0
14,9,0,0,0,0,2,0,0,0,0
8,13,0,0,0,0,1,0,0,0,0
7,19,0,0,0,0,1,0,0,0,0
6,23,0,0,0,0,1,0,0,0,0
7,12,0,0,0,0,2,0,0,0,0
9,17,0,0,0,2,2,0,0,0,0
13,6,0,0,0,2,2,0,0,0,0
12,10,0,0,0,0,1,0,0,0,0
7,13,0,0,0,1,2,0,0,0,0
5,15,3,0,1,1,2,1,1,2,0
8,12,3,0,1,1,2,1,1,2,0
6,14,3,0,1,1,1,1,1,2,0
5,20,3,0,0,0,0,0,1,1,0
8,20,3,0,0,0,0,0,1,1,0
8,19,0,0,3,2,8,0,0,0,0
7,16,0,0,0,0,1,0,0,0,0
7,12,0,0,0,4,5,0,1,1,0
8,23,0,0,0,0,3,0,0,0,0
10,11,0,0,0,0,3,0,0,0,0
11,12,0,0,0,2,1,0,0,0,0
9,9,0,0,0,0,1,0,0,0,0
10,13,0,0,0,1,0,0,0,0,0
6,14,0,1,0,3,1,0,1,1,0
8,9,0,0,0,1,3,0,0,0,0
9,9,0,0,0,1,2,0,0,0,0
9,14,0,1,0,3,1,0,1,1,0
11,8,0,0,0,1,2,0,0,0,0
9,13,0,0,0,1,4,0,0,0,0
8,12,1,0,0,12,4,9,2,11,0
8,9,1,0,0,0,4,0,0,0,0
10,9,0,0,1,3,3,0,0,0,0
12,23,0,0,0,0,2,0,0,0,0
10,10,0,0,0,1,0,0,0,0,0
10,10,0,0,0,0,4,0,0,0,0
9,13,0,0,2,1,6,0,0,0,0
10,6,1,1,0,2,4,0,1,1,0
9,11,0,0,0,1,1,0,0,0,0
12,17,0,0,0,0,2,0,0,0,0
7,12,1,0,0,13,4,12,2,9,0
8,15,2,0,0,1,3,0,1,1,0
9,12,0,0,0,1,2,0,0,0,0
6,8,1,0,0,13,4,10,2,6,0
5,13,1,0,0,1,4,0,1,1,0
7,14,0,0,1,0,1,0,0,0,0
5,15,0,0,0,0,2,0,0,0,0
8,10,0,0,1,0,5,0,0,0,0
21,6,1,0,0,1,4,0,1,0,0
11,13,0,0,1,1,3,0,0,0,0
9,12,0,0,0,1,2,0,0,0,0
8,10,0,1,0,5,2,5,1,2,0
5,8,1,0,2,1,2,0,1,1,0
10,20,1,0,2,1,2,0,1,0,0
6,23,1,0,0,0,6,0,0,1,0
6,13,1,1,0,2,4,0,1,1,0
4,12,0,0,1,0,2,0,0,0,0
8,8,0,0,0,0,2,0,0,0,0
6,17,0,0,1,3,4,0,0,0,0
4,7,0,0,0,1,3,0,0,0,0
7,13,0,0,0,0,2,0,0,0,0
6,17,0,0,0,1,2,0,0,0,0
8,12,0,0,0,1,2,0,0,0,0
8,13,0,0,1,1,3,0,0,0,0
6,14,3,0,2,1,2,2,1,4,0
5,16,0,0,0,1,2,0,0,0,0
7,13,0,0,0,1,5,0,0,0,0
9,11,0,0,0,0,2,0,0,0,0
10,9,0,0,0,1,2,0,0,0,0
9,8,0,0,0,1,1,0,0,0,0
7,12,0,0,1,0,3,0,0,0,0
10,16,0,1,0,1,3,0,1,1,0
7,8,0,0,0,0,3,0,0,0,0
7,11,0,0,0,0,1,0,0,0,0
8,10,0,0,0,0,2,0,0,0,0
13,9,0,0,0,0,4,0,0,0,0
12,18,0,0,0,0,3,0,0,0,0
7,9,0,0,0,1,3,0,1,1,0
10,6,0,0,0,1,2,0,0,0,0
19,9,0,0,0,0,4,0,0,0,0
9,12,0,0,0,1,3,0,0,0,0
9,12,0,0,0,1,1,0,0,0,0
16,20,0,0,0,1,5,0,0,0,0
13,19,0,0,0,0,1,0,1,0,0
8,12,0,0,0,1,1,0,0,0,0
11,12,0,0,0,1,2,0,0,0,0
11,9,0,1,0,2,5,0,1,1,0
8,10,0,1,0,13,5,9,2,11,0
8,14,0,1,0,1,2,0,1,1,0
6,14,0,0,0,0,2,0,0,0,0
7,9,0,0,0,0,6,0,0,0,0
9,14,0,0,0,0,4,0,0,0,0
10,21,0,0,0,1,1,0,0,0,0
11,9,0,0,0,1,1,0,0,0,0
10,20,0,0,0,1,2,0,0,0,0
13,8,0,0,2,0,2,0,0,0,0
8,9,0,0,1,0,2,0,0,0,0
8,20,0,0,0,0,2,0,0,0,0
12,12,0,0,1,0,3,0,0,0,0
10,10,0,0,0,1,2,0,0,0,0
9,12,0,1,0,2,2,0,1,1,0
13,10,0,0,0,0,3,0,0,0,0
9,17,0,0,0,0,0,0,1,1,0
4,12,0,0,0,0,3,0,0,0,0
9,15,0,0,0,1,0,0,0,0,0
7,8,0,0,0,1,0,0,0,0,0
9,16,0,0,0,1,3,0,0,0,0
12,16,1,0,0,0,3,0,0,0,0
11,10,0,0,1,1,2,0,0,0,0
4,14,3,0,0,1,1,2,1,4,0
4,16,0,0,5,1,7,0,0,0,0
5,16,0,0,5,1,7,0,0,0,0
9,7,0,0,0,3,4,0,0,0,0
15,14,0,0,0,0,1,0,0,0,0
13,13,0,0,0,0,1,0,0,0,0
9,13,2,0,0,1,3,0,1,1,0
13,9,0,0,6,0,2,0,0,0,0
10,7,0,0,0,0,2,0,0,0,0
8,14,0,0,0,0,2,0,0,0,0
5,15,0,0,0,1,0,0,0,0,0
8,12,0,0,0,0,2,0,0,0,0
7,12,0,0,5,1,4,0,0,0,0
6,7,0,0,5,1,4,0,0,0,0
9,8,0,0,5,1,4,0,0,0,0
7,13,0,0,0,0,5,0,0,0,0
6,10,0,0,0,0,2,0,0,0,0
9,15,0,0,0,0,1,0,0,0,0
6,11,0,0,1,0,4,0,0,0,0
7,11,0,0,1,0,2,0,0,0,0
8,10,3,0,2,1,12,1,1,2,0
9,12,0,0,0,0,1,0,0,0,0
8,12,0,0,0,1,2,0,0,0,0
11,6,0,1,2,14,3,10,2,6,0
9,11,3,0,1,1,3,1,1,2,0
10,13,0,0,0,0,1,0,0,0,0
9,12,0,1,0,2,3,0,1,1,0
9,9,0,0,0,1,2,0,0,0,0
12,7,0,0,0,0,2,0,0,0,0
11,12,0,0,0,0,0,0,1,1,0
6,14,3,0,3,1,4,2,1,3,0
5,14,0,0,0,1,2,0,0,0,0
5,12,0,1,1,2,5,0,1,1,0
4,14,0,1,0,2,5,0,1,1,0
4,12,0,1,0,2,5,0,1,1,0
5,10,0,1,0,2,5,0,1,1,0
4,20,0,0,1,1,2,0,0,0,0
5,10,0,1,0,2,5,0,1,1,0
6,10,0,0,0,13,6,12,2,9,0
5,16,0,0,0,0,6,0,0,0,0
5,11,0,1,0,2,3,0,1,0,0
8,16,0,0,0,1,1,0,0,0,0
9,10,0,0,1,1,2,0,0,0,0
9,14,1,0,0,0,0,0,1,1,0
9,13,0,0,0,0,2,0,0,0,0
11,8,0,0,0,1,5,0,0,0,0
9,12,0,0,0,1,1,0,0,0,0
10,12,0,1,1,14,5,10,2,6,0
6,12,0,0,1,0,2,0,0,0,0
9,10,0,0,0,0,1,0,0,0,0
22,12,0,0,0,1,3,0,0,0,0
8,9,0,0,0,0,3,0,0,0,0
14,10,0,0,1,1,2,0,0,0,0
9,12,0,0,0,1,1,0,0,0,0
7,9,0,0,1,1,3,0,0,0,0
12,9,0,0,0,0,2,0,0,0,0
10,11,0,0,0,0,2,0,0,0,0
16,16,0,0,2,1,4,0,0,0,0
14,8,0,0,0,1,2,0,0,0,0
7,6,0,0,0,1,2,0,0,0,0
15,13,0,0,0,1,2,0,0,0,0
19,14,1,0,1,2,3,0,1,0,0
7,13,0,0,0,0,1,0,0,0,0
11,6,0,0,1,2,5,0,0,0,0
12,13,1,0,0,1,3,0,0,0,0
7,12,0,0,3,0,6,0,0,0,0
9,14,0,0,0,1,5,0,0,0,0
9,8,0,0,0,1,2,0,0,0,0
8,11,0,0,0,1,0,0,0,0,0
13,18,0,0,0,0,2,0,0,0,0
8,16,0,0,0,0,2,0,0,0,0
5,19,5,0,3,0,8,0,0,0,0
14,10,0,0,0,0,0,0,1,1,0
12,10,0,0,1,0,2,0,0,0,0
7,12,0,0,0,0,3,0,0,0,0
9,16,0,0,0,0,1,0,0,0,0
7,13,0,0,0,1,3,0,0,0,0
10,8,0,0,1,2,1,0,0,0,0
7,11,0,0,0,1,7,0,0,0,0
13,20,0,0,0,0,3,0,0,0,0
9,23,0,0,0,1,2,0,0,0,0
4,7,0,0,0,1,2,1,1,2,0
4,9,0,0,0,1,1,0,0,0,0
6,12,0,0,0,0,3,0,0,0,0
5,11,0,0,0,0,2,0,0,0,0
4,10,0,0,0,0,3,0,0,0,0
5,6,0,0,0,0,2,0,0,0,0
6,10,0,0,0,0,1,0,0,0,0
9,12,0,0,0,1,1,0,0,0,0
5,11,0,0,0,0,1,0,0,0,0
8,10,0,1,1,2,2,0,1,1,0
11,11,0,1,2,13,2,14,1,8,0
8,16,1,0,1,0,2,0,0,0,0
10,11,0,1,0,2,5,0,1,1,0
7,12,0,0,0,3,5,0,2,2,0
13,12,0,0,1,1,1,0,0,0,0
10,7,0,0,0,0,6,0,0,0,0
6,14,0,0,1,0,3,0,0,0,0
13,16,0,0,0,0,1,0,0,0,0
8,18,0,1,0,2,2,0,1,1,0
9,16,0,0,0,14,1,13,2,10,0
4,19,0,0,0,0,0,0,0,0,0
6,12,0,0,1,0,5,0,0,0,0
8,12,0,1,1,2,2,0,1,1,0
6,11,0,0,0,0,1,0,0,0,0
6,19,0,0,0,0,3,0,0,0,0
6,12,0,0,1,0,1,0,0,0,0
4,16,1,0,0,0,7,0,0,1,0
5,10,1,0,0,1,0,0,0,0,0
4,10,3,1,2,2,12,1,1,2,0
7,11,0,0,0,0,5,0,0,0,0
13,10,0,0,0,0,4,0,0,0,0
7,12,0,1,1,2,2,0,1,1,0
8,9,0,1,2,2,2,0,1,1,0
8,8,0,1,1,2,2,0,1,1,0
6,14,0,0,1,1,3,0,0,0,0
6,8,0,1,2,2,2,0,1,1,0
6,9,0,0,0,3,1,0,0,0,0
8,13,0,0,0,0,5,0,0,0,0
6,14,0,0,1,0,3,0,0,0,0
7,9,0,0,0,1,3,0,0,0,0
14,18,0,0,0,0,3,0,0,0,0
14,11,0,0,0,0,1,0,0,0,0
10,10,0,0,0,0,1,0,0,0,0
9,16,0,0,1,1,1,0,0,0,0
16,9,0,1,0,2,3,0,1,1,0
5,13,0,1,0,14,3,10,2,6,0
11,12,0,0,0,1,2,0,0,0,0
10,17,0,0,2,1,1,0,0,0,0
13,14,0,0,1,0,5,0,0,0,0
14,8,0,0,1,0,7,0,0,0,0
9,12,0,0,1,0,7,0,0,0,0
6,7,0,0,0,0,4,0,1,1,0
9,17,0,0,0,0,2,0,0,0,0
9,21,0,0,0,0,4,0,0,0,0
9,13,0,0,0,0,3,0,0,0,0
8,20,0,1,0,14,3,10,2,6,0
8,13,0,1,0,2,3,0,1,1,0
7,11,3,0,0,1,3,0,1,1,0
5,11,0,0,0,0,2,0,0,0,0
10,12,0,1,0,2,3,0,1,1,0
12,9,0,1,0,14,3,10,2,6,0
10,10,0,1,2,13,2,14,1,8,0
9,6,0,1,0,2,5,0,1,1,0
9,10,0,0,2,1,3,0,0,0,0
7,16,0,1,0,2,3,0,1,1,0
7,8,0,0,0,1,1,0,0,0,0
9,13,0,1,0,2,3,0,1,1,0
13,8,0,1,0,14,3,10,2,6,0
8,7,0,0,0,0,3,0,0,0,0
6,11,0,0,0,0,3,0,0,0,0
10,13,1,1,0,2,2,0,1,1,0
8,12,0,0,1,0,3,0,0,0,0
8,20,0,0,2,2,4,0,0,0,0
7,12,0,0,0,0,2,0,0,0,0
7,12,0,0,0,0,2,0,0,0,0
8,15,0,0,0,0,3,0,0,0,0
9,15,0,0,0,0,7,0,0,0,0
11,12,0,0,0,0,2,0,0,0,0
9,11,3,0,4,0,0,0,1,1,0
10,9,0,1,0,2,3,0,1,1,0
9,12,0,0,0,0,2,0,0,0,0
8,9,1,0,0,0,7,0,0,0,0
7,14,0,0,0,4,3,0,0,0,0
9,14,0,0,0,0,1,0,0,0,0
10,9,0,1,0,14,3,10,2,6,0
8,11,0,0,1,1,1,0,0,0,0
11,14,0,0,0,0,1,0,0,0,0
9,6,0,0,0,1,2,0,1,1,0
9,11,0,0,0,0,1,0,0,0,0
8,12,0,1,0,3,3,0,1,1,0
8,15,0,1,0,15,3,10,2,6,0
12,9,0,0,0,1,0,0,0,0,0
11,23,2,0,0,1,3,0,0,0,0
9,14,0,1,0,2,6,0,1,1,0
12,22,0,1,0,14,6,10,2,6,0
7,15,0,0,0,0,3,0,0,0,0
12,25,0,1,1,2,3,0,1,1,0
14,11,0,1,0,2,3,0,1,1,0
10,14,0,1,1,14,3,10,2,6,0
11,12,0,1,0,14,3,10,2,6,0
6,9,0,1,1,3,3,0,1,1,0
7,9,0,1,0,2,3,0,1,1,0
7,9,0,0,0,1,3,0,0,0,0
10,20,0,0,0,0,2,0,0,0,0
8,11,0,0,1,0,7,0,0,0,0
9,13,0,0,0,0,2,0,0,0,0
9,10,0,1,0,2,3,0,1,1,0
17,12,0,1,0,2,3,0,1,1,0
16,16,0,0,0,0,3,0,0,0,0
10,13,0,0,0,0,1,0,0,0,0
10,16,0,0,0,1,1,0,0,0,0
6,12,0,0,0,1,1,0,0,0,0
11,11,3,0,1,1,5,1,1,2,0
10,16,0,0,0,1,2,0,0,0,0
5,20,0,0,0,0,1,0,0,0,0
11,9,0,0,0,0,5,0,0,0,0
9,8,0,0,1,0,3,0,0,0,0
10,12,1,0,0,1,2,0,0,0,0
11,9,0,0,1,2,1,0,0,0,0
7,8,1,0,0,1,3,0,0,0,0
5,23,0,0,0,0,5,0,0,0,0
6,23,0,1,0,2,3,0,1,1,0
6,23,1,0,0,0,3,0,0,0,0
5,11,0,1,1,2,3,0,1,1,0
11,18,0,0,1,1,3,0,0,0,0
7,12,3,0,0,0,0,0,1,1,0
8,9,3,0,0,0,0,0,1,1,0
10,11,0,0,5,1,7,0,0,0,0
14,6,0,1,1,2,2,0,1,1,0
7,11,0,1,1,2,2,0,1,1,0
12,11,0,1,1,2,2,0,1,1,0
12,10,0,1,1,2,5,0,1,1,0
6,9,1,0,0,0,3,0,0,0,0
8,10,0,0,0,1,1,0,0,0,0
18,16,0,0,0,1,2,0,0,0,0
9,14,0,0,0,0,2,0,0,0,0
19,27,0,0,0,4,2,0,1,1,0
14,8,0,1,1,2,2,0,1,1,0
14,16,0,1,1,2,2,0,1,1,0
22,9,0,1,0,2,5,0,1,1,0
8,12,0,1,0,13,5,9,2,11,0
6,8,0,0,0,0,3,0,0,0,0
7,11,0,0,0,1,2,0,0,0,0
8,10,0,0,0,0,2,0,0,0,0
10,16,0,0,0,1,0,0,0,0,0
12,11,0,0,0,1,1,0,0,0,0
13,13,0,1,0,2,5,0,1,1,0
13,12,0,1,0,13,5,9,2,11,0
5,13,0,1,0,14,3,10,2,6,0
5,12,1,0,0,0,1,0,0,0,0
11,17,0,1,0,3,5,0,1,1,0
14,13,0,1,0,2,5,0,1,1,0
11,10,0,1,0,2,5,0,1,1,0
9,9,0,1,0,2,5,0,1,1,0
12,11,0,1,0,2,5,0,1,1,0
9,12,0,1,0,2,5,0,1,1,0
14,10,0,1,0,2,5,0,1,1,0
9,10,0,1,0,3,5,0,1,1,0
8,10,0,1,0,2,5,0,1,1,0
14,11,0,1,0,2,5,0,1,1,0
7,12,0,1,0,2,5,0,1,1,0
8,7,0,1,1,2,5,0,1,1,0
48,8,0,1,0,14,5,9,2,11,0
12,10,0,1,0,13,5,9,2,11,0
14,17,0,1,0,13,5,9,2,11,0
12,9,0,1,0,13,5,9,2,11,0
8,8,0,1,0,13,5,9,2,11,0
5,11,0,1,0,13,5,9,2,11,0
13,10,0,1,0,14,5,9,2,11,0
12,9,0,1,0,13,5,9,2,11,0
8,12,0,1,0,13,5,9,2,11,0
8,10,0,1,0,13,5,9,2,11,0
8,8,0,1,1,13,5,9,2,11,0
6,19,0,0,0,1,2,0,0,0,0
10,15,0,0,0,1,2,0,0,0,0
9,7,0,0,1,1,2,0,0,0,0
7,14,0,0,0,1,3,0,0,0,0
9,12,0,0,0,1,1,0,0,0,0
11,15,3,0,1,1,3,1,1,2,0
10,20,0,0,0,0,1,0,1,1,0
23,12,0,0,1,0,7,0,0,0,0
12,17,0,0,0,0,1,0,1,0,0
5,9,0,0,0,1,0,0,0,0,0
11,9,0,0,0,1,3,0,0,0,0
12,4,2,0,0,0,1,0,0,0,0
11,8,0,1,0,3,4,0,1,1,0
9,8,0,1,0,3,3,0,1,1,0
12,9,0,0,0,1,2,0,0,0,0
11,15,1,0,0,1,1,0,0,0,0
13,17,1,0,0,0,4,0,0,0,0
7,12,0,0,0,0,1,0,1,1,0
6,10,0,1,0,2,3,0,1,1,0
6,14,0,1,0,3,3,0,1,1,0
9,10,0,1,0,2,3,0,1,1,0
10,12,0,1,0,2,3,0,1,1,0
4,21,0,1,0,2,3,0,1,1,0
8,21,0,1,0,2,3,0,1,1,0
10,12,0,1,0,14,3,10,2,6,0
8,15,0,1,0,14,3,10,2,6,0
5,10,0,1,0,14,3,10,2,6,0
5,19,0,1,0,14,3,10,2,6,0
6,10,0,0,1,0,7,0,0,0,0
7,12,0,0,0,12,2,9,2,11,0
6,11,0,0,1,1,2,0,0,0,0
4,14,0,0,0,0,1,0,0,0,0
5,20,0,0,1,1,4,0,0,0,0
7,14,0,0,0,2,3,0,1,1,0
4,10,0,0,0,0,3,0,0,0,0
5,16,0,0,0,1,1,0,0,0,0
6,11,1,0,0,0,0,0,0,0,0
11,13,0,0,0,1,3,0,0,0,0
11,19,0,0,0,2,3,1,1,2,0
8,17,0,0,0,0,2,0,0,0,0
8,13,1,0,0,1,1,0,0,0,0
8,11,0,0,0,2,5,0,0,0,0
13,12,1,0,0,1,3,0,0,0,0
7,10,0,0,0,0,4,0,0,0,0
11,19,0,0,0,0,3,0,0,0,0
14,11,0,0,0,0,8,0,0,0,0
9,15,0,0,0,1,4,0,0,0,0
8,11,0,0,0,1,4,0,0,0,0
7,9,0,0,0,1,1,0,0,0,0
8,25,0,0,1,0,2,0,0,0,0
7,12,0,0,0,0,2,0,0,0,0
13,7,0,0,0,0,3,0,0,0,0
9,26,1,0,3,1,4,9,1,10,0
7,13,0,0,0,0,1,0,0,0,0
11,12,0,0,2,1,2,0,0,0,0
7,17,1,0,3,1,4,9,1,10,0
9,9,0,0,2,1,4,5,1,7,0
9,12,0,0,2,1,4,5,1,7,0
6,13,0,0,0,0,2,0,0,0,0
7,12,0,0,1,0,7,0,0,0,0
8,18,0,0,0,0,1,0,0,0,0
10,5,0,0,1,3,4,0,0,0,0
7,12,0,0,0,0,1,0,0,0,0
8,15,0,0,5,1,4,1,1,2,0
7,14,0,0,5,1,4,1,1,2,0
8,12,0,0,0,1,2,0,0,0,0
8,18,0,0,0,1,2,0,0,0,0
15,8,0,0,0,0,4,0,0,0,0
12,13,0,0,0,1,1,0,0,0,0
11,16,0,0,0,1,3,0,0,0,0
18,12,0,0,0,1,3,0,0,0,0
16,17,0,0,0,0,2,0,0,0,0
12,13,0,0,1,1,5,0,0,0,0
14,11,5,0,1,2,2,6,2,6,0
10,18,0,0,5,1,7,1,1,2,0
7,8,0,0,5,1,7,1,1,2,0
6,11,0,0,0,0,2,0,0,0,0
5,14,0,0,0,0,1,0,0,0,0
5,12,0,0,0,1,3,0,0,0,0
6,12,0,0,1,0,5,0,0,0,0
12,8,0,0,1,0,5,0,0,0,0
8,12,0,0,0,1,1,0,0,0,0
10,15,1,0,1,1,2,0,0,0,0
13,9,0,0,0,1,5,0,0,0,0
4,10,0,0,1,0,7,0,0,0,0
11,9,0,0,0,1,2,0,0,0,0
8,25,0,0,0,1,3,0,0,0,0
18,10,0,0,0,1,0,0,0,0,0
8,11,0,1,0,2,3,0,1,1,0
9,24,0,1,0,3,3,0,1,1,0
8,11,0,0,1,2,2,0,0,0,0
10,8,0,0,2,1,4,0,0,0,0
8,19,0,0,0,1,2,0,0,0,0
8,29,0,1,0,2,5,0,1,1,0
9,7,0,1,0,13,5,9,2,11,0
15,19,0,0,0,0,2,0,0,0,0
9,34,0,0,7,0,4,0,0,0,0
8,21,0,0,0,1,0,0,0,0,0
11,8,0,0,0,13,1,10,2,6,0
8,15,0,0,1,0,2,0,0,0,0
7,12,0,0,1,3,3,0,1,1,0
8,15,0,0,0,13,3,10,2,6,0
8,16,2,0,0,1,7,0,0,0,0
7,5,0,0,0,0,1,0,0,0,0
8,10,1,0,0,1,2,0,0,0,0
11,9,1,0,0,1,2,0,0,0,0
14,7,0,0,0,2,2,0,0,0,0
4,10,0,0,1,1,3,0,0,0,0
6,13,0,0,1,1,3,0,0,0,0
4,12,0,0,1,1,3,0,0,0,0
10,8,0,0,0,1,1,0,0,0,0
8,10,0,0,0,1,3,0,0,0,0
5,14,0,0,2,1,3,0,0,0,0
5,8,0,0,1,1,3,0,0,0,0
7,11,0,0,1,0,3,0,0,0,0
5,10,0,0,1,1,3,0,0,0,0
13,10,0,0,1,1,3,0,0,0,0
9,12,0,0,1,1,3,0,0,0,0
9,12,0,0,1,12,3,9,2,11,0
9,12,0,0,0,1,2,0,0,0,0
13,12,0,0,0,1,3,0,0,0,0
5,16,0,0,0,0,3,0,0,0,0
15,10,0,0,1,0,3,0,0,0,0
18,12,0,0,0,1,2,0,0,0,0
9,12,0,0,1,1,3,0,0,0,0
13,11,0,0,0,1,1,0,0,0,0
13,17,1,0,0,0,2,0,0,0,0
5,6,0,0,0,1,4,0,0,0,0
8,6,4,0,1,1,3,1,1,2,0
12,6,0,0,0,1,4,0,0,0,0
7,6,0,0,1,0,3,0,0,1,0
8,6,0,0,0,0,2,0,0,0,0
10,6,1,0,0,1,3,0,0,0,0
9,12,0,1,1,5,4,6,1,7,0
8,10,0,0,0,0,1,0,0,0,0
13,9,0,0,0,1,3,0,0,0,0
10,12,0,0,0,0,1,0,0,0,0
9,19,0,0,0,1,5,0,0,0,0
9,13,0,0,0,0,5,0,0,0,0
11,13,0,0,0,1,3,0,1,1,0
14,16,0,1,1,2,1,0,1,1,0
9,6,0,1,1,3,1,0,1,1,0
7,7,0,0,0,1,1,0,0,0,0
9,19,0,0,0,1,2,0,0,0,0
10,7,0,0,4,0,1,0,0,0,0
16,11,0,1,0,2,2,0,1,1,0
7,16,0,1,0,2,3,0,1,1,0
10,23,0,1,0,2,3,0,1,1,0
9,24,0,1,0,2,3,0,1,1,0
11,28,0,1,0,2,3,0,1,1,0
11,25,0,1,0,2,3,0,1,1,0
10,19,0,1,0,2,3,0,1,1,0
10,16,0,0,0,1,2,0,0,0,0
10,13,0,0,0,0,2,0,0,0,0
10,20,0,0,0,0,1,0,0,0,0
8,16,0,0,0,0,1,0,0,0,0
9,22,0,1,0,14,3,10,2,6,0
7,12,0,0,0,1,1,0,1,1,0
13,18,0,0,2,1,1,0,0,0,0
10,10,0,1,0,2,3,0,1,1,0
8,17,0,1,0,2,3,0,1,1,0
10,18,0,1,1,2,3,0,1,1,0
6,17,0,1,0,14,3,10,2,6,0
8,12,0,1,0,14,3,10,2,6,0
11,17,0,1,1,14,3,10,2,6,0
12,19,1,0,0,0,5,0,0,0,0
9,11,0,0,0,1,1,0,1,1,0
11,9,0,0,0,4,2,0,0,0,0
8,5,0,0,0,1,0,0,0,0,0
9,11,0,0,0,0,1,0,0,0,0
9,11,1,0,0,0,1,0,0,0,0
5,11,0,1,0,2,3,0,1,1,0
8,20,0,1,0,14,3,10,2,6,0
14,8,0,1,1,2,2,0,1,1,0
6,10,0,1,1,2,2,0,1,1,0
18,11,0,0,0,0,2,0,0,0,0
8,10,0,1,0,2,3,0,1,1,0
9,19,0,0,0,0,2,0,0,0,0
7,12,0,0,0,0,2,0,0,0,0
9,10,0,0,0,0,1,0,0,0,0
6,14,0,0,0,0,6,0,0,0,0
6,11,0,0,2,1,1,0,0,0,0
7,17,0,0,2,2,1,0,1,0,0
14,10,0,0,0,1,2,0,0,0,0
7,11,0,1,2,2,3,0,1,1,0
10,18,0,0,0,0,1,0,0,0,0
10,6,0,0,2,2,1,0,1,0,0
13,13,0,0,0,0,1,0,0,0,0
5,12,0,1,1,2,1,0,1,0,0
6,14,0,0,0,1,1,0,0,0,0
9,24,0,0,0,1,1,0,0,0,0
8,12,0,0,0,0,2,0,0,0,0
7,22,0,0,0,1,1,0,0,0,0
7,18,0,0,1,0,7,0,0,0,0
12,9,0,1,1,3,1,0,1,0,0
10,14,2,1,1,2,3,0,1,2,0
